sample_id,file_prefix,raw_sample_id,stage,tissue,sex,condition,infection_mode,biological_location,replicate,source_sample_id,batch,dataset,lane,run_accession,study_accession
SM_ADUL_WHOL_MAL_SING_SC1878532_B2,SM_ADUL_WHOL_MAL_SING_SC1878532_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,adult,whole_body,male,single_sex,single_sex,,1878532,1878532,B2,PRJEB14695,,ERR667067,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878536_B2,SM_ADUL_WHOL_FEM_SING_SC1878536_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,adult,whole_body,female,single_sex,single_sex,,1878536,1878536,B2,PRJEB14695,,ERR667070,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878537_B2,SM_ADUL_WHOL_FEM_SING_SC1878537_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,adult,whole_body,female,single_sex,single_sex,,1878537,1878537,B2,PRJEB14695,,ERR667071,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878515_B2,SM_ADUL_OVAR_FEM_SING_SC1878515_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,adult,ovary,female,single_sex,single_sex,,1878515,1878515,B2,PRJEB14695,,ERR667073,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,adult,ovary,female,mixed_sex,mixed_sex,,1878517,1878517,B2,PRJEB14695,,ERR667075,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878524_B2,SM_ADUL_TEST_MAL_MIXS_SC1878524_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,adult,testis,male,mixed_sex,mixed_sex,,1878524,1878524,B2,PRJEB14695,,ERR667082,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,adult,testis,male,mixed_sex,mixed_sex,,1878525,1878525,B2,PRJEB14695,,ERR667083,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,adult,whole_body,female,mixed_sex,mixed_sex,,1878527,1878527,B2,PRJEB14695,,ERR667085,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,adult,whole_body,female,mixed_sex,mixed_sex,,1878528,1878528,B2,PRJEB14695,,ERR667086,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878530_B2,SM_ADUL_WHOL_MAL_SING_SC1878530_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,adult,whole_body,male,single_sex,single_sex,,1878530,1878530,B2,PRJEB14695,,ERR667088,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,adult,whole_body,male,mixed_sex,mixed_sex,,1878533,1878533,B2,PRJEB14695,,ERR667090,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878515_B2,SM_ADUL_OVAR_FEM_SING_SC1878515_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,adult,ovary,female,single_sex,single_sex,,1878515,1878515,B2,PRJEB14695,,ERR667097,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878516_B2,SM_ADUL_OVAR_FEM_SING_SC1878516_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,adult,ovary,female,single_sex,single_sex,,1878516,1878516,B2,PRJEB14695,,ERR667098,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,adult,ovary,female,mixed_sex,mixed_sex,,1878519,1878519,B2,PRJEB14695,,ERR667101,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878521_B2,SM_ADUL_TEST_MAL_SING_SC1878521_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521,adult,testis,male,single_sex,single_sex,,1878521,1878521,B2,PRJEB14695,,ERR667103,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,adult,whole_body,female,mixed_sex,mixed_sex,,1878528,1878528,B2,PRJEB14695,,ERR667110,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878536_B2,SM_ADUL_WHOL_FEM_SING_SC1878536_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,adult,whole_body,female,single_sex,single_sex,,1878536,1878536,B2,PRJEB14695,,ERR667118,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878516_B2,SM_ADUL_OVAR_FEM_SING_SC1878516_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,adult,ovary,female,single_sex,single_sex,,1878516,1878516,B2,PRJEB14695,,ERR667122,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878523_B2,SM_ADUL_TEST_MAL_MIXS_SC1878523_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,adult,testis,male,mixed_sex,mixed_sex,,1878523,1878523,B2,PRJEB14695,,ERR667129,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878524_B2,SM_ADUL_TEST_MAL_MIXS_SC1878524_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,adult,testis,male,mixed_sex,mixed_sex,,1878524,1878524,B2,PRJEB14695,,ERR667130,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,adult,testis,male,mixed_sex,mixed_sex,,1878525,1878525,B2,PRJEB14695,,ERR667131,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878529_B2,SM_ADUL_TEST_MAL_SING_SC1878529_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,adult,testis,male,single_sex,single_sex,,1878529,1878529,B2,PRJEB14695,,ERR667135,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878531_B2,SM_ADUL_WHOL_MAL_SING_SC1878531_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531,adult,whole_body,male,single_sex,single_sex,,1878531,1878531,B2,PRJEB14695,,ERR667137,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878533_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,adult,whole_body,male,mixed_sex,mixed_sex,,1878533,1878533,B2,PRJEB14695,,ERR667138,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878532_B2,SM_ADUL_WHOL_MAL_SING_SC1878532_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,adult,whole_body,male,single_sex,single_sex,,1878532,1878532,B2,PRJEB14695,,ERR667139,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878537_B2,SM_ADUL_WHOL_FEM_SING_SC1878537_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,adult,whole_body,female,single_sex,single_sex,,1878537,1878537,B2,PRJEB14695,,ERR667143,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,adult,ovary,female,mixed_sex,mixed_sex,,1878517,1878517,B2,PRJEB14695,,ERR506073,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878520_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878520_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,adult,whole_body,female,mixed_sex,mixed_sex,,1878520,1878520,B2,PRJEB14695,,ERR506076,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878521_B2,SM_ADUL_TEST_MAL_SING_SC1878521_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521,adult,testis,male,single_sex,single_sex,,1878521,1878521,B2,PRJEB14695,,ERR506077,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,adult,whole_body,male,mixed_sex,mixed_sex,,1878526,1878526,B2,PRJEB14695,,ERR506082,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878535_B2,SM_ADUL_WHOL_FEM_SING_SC1878535_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,adult,whole_body,female,single_sex,single_sex,,1878535,1878535,B2,PRJEB14695,,ERR506091,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878536_B2,SM_ADUL_WHOL_FEM_SING_SC1878536_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,adult,whole_body,female,single_sex,single_sex,,1878536,1878536,B2,PRJEB14695,,ERR506092,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,adult,ovary,female,mixed_sex,mixed_sex,,1878517,1878517,B2,PRJEB14695,,ERR506097,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,adult,testis,male,mixed_sex,mixed_sex,,1878525,1878525,B2,PRJEB14695,,ERR506105,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,adult,whole_body,male,mixed_sex,mixed_sex,,1878526,1878526,B2,PRJEB14695,,ERR506106,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,adult,whole_body,female,mixed_sex,mixed_sex,,1878528,1878528,B2,PRJEB14695,,ERR506108,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878531_B2,SM_ADUL_WHOL_MAL_SING_SC1878531_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531,adult,whole_body,male,single_sex,single_sex,,1878531,1878531,B2,PRJEB14695,,ERR506111,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878535_B2,SM_ADUL_WHOL_FEM_SING_SC1878535_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,adult,whole_body,female,single_sex,single_sex,,1878535,1878535,B2,PRJEB14695,,ERR506115,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878537_B2,SM_ADUL_WHOL_FEM_SING_SC1878537_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,adult,whole_body,female,single_sex,single_sex,,1878537,1878537,B2,PRJEB14695,,ERR506117,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878515_B2,SM_ADUL_OVAR_FEM_SING_SC1878515_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,adult,ovary,female,single_sex,single_sex,,1878515,1878515,B2,PRJEB14695,,ERR667049,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,adult,ovary,female,mixed_sex,mixed_sex,,1878519,1878519,B2,PRJEB14695,,ERR667053,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878522_B2,SM_ADUL_TEST_MAL_SING_SC1878522_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,adult,testis,male,single_sex,single_sex,,1878522,1878522,B2,PRJEB14695,,ERR667056,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,adult,whole_body,male,mixed_sex,mixed_sex,,1878526,1878526,B2,PRJEB14695,,ERR667060,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,adult,whole_body,female,mixed_sex,mixed_sex,,1878527,1878527,B2,PRJEB14695,,ERR667061,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878531_B2,SM_ADUL_WHOL_MAL_SING_SC1878531_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531,adult,whole_body,male,single_sex,single_sex,,1878531,1878531,B2,PRJEB14695,,ERR667065,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,adult,ovary,female,mixed_sex,mixed_sex,,1878518,1878518,B2,PRJEB14695,,ERR667076,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,adult,ovary,female,mixed_sex,mixed_sex,,1878519,1878519,B2,PRJEB14695,,ERR667077,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878529_B2,SM_ADUL_TEST_MAL_SING_SC1878529_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,adult,testis,male,single_sex,single_sex,,1878529,1878529,B2,PRJEB14695,,ERR667087,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878531_B2,SM_ADUL_WHOL_MAL_SING_SC1878531_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531,adult,whole_body,male,single_sex,single_sex,,1878531,1878531,B2,PRJEB14695,,ERR667089,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878532_B2,SM_ADUL_WHOL_MAL_SING_SC1878532_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,adult,whole_body,male,single_sex,single_sex,,1878532,1878532,B2,PRJEB14695,,ERR667091,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878534_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878534_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,adult,whole_body,male,mixed_sex,mixed_sex,,1878534,1878534,B2,PRJEB14695,,ERR667092,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878536_B2,SM_ADUL_WHOL_FEM_SING_SC1878536_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,adult,whole_body,female,single_sex,single_sex,,1878536,1878536,B2,PRJEB14695,,ERR667094,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,adult,ovary,female,mixed_sex,mixed_sex,,1878517,1878517,B2,PRJEB14695,,ERR667099,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,adult,ovary,female,mixed_sex,mixed_sex,,1878518,1878518,B2,PRJEB14695,,ERR667100,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878520_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878520_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,adult,whole_body,female,mixed_sex,mixed_sex,,1878520,1878520,B2,PRJEB14695,,ERR667102,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878522_B2,SM_ADUL_TEST_MAL_SING_SC1878522_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,adult,testis,male,single_sex,single_sex,,1878522,1878522,B2,PRJEB14695,,ERR667104,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878523_B2,SM_ADUL_TEST_MAL_MIXS_SC1878523_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,adult,testis,male,mixed_sex,mixed_sex,,1878523,1878523,B2,PRJEB14695,,ERR667105,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,adult,whole_body,male,mixed_sex,mixed_sex,,1878526,1878526,B2,PRJEB14695,,ERR667108,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878527_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,adult,whole_body,female,mixed_sex,mixed_sex,,1878527,1878527,B2,PRJEB14695,,ERR667109,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878529_B2,SM_ADUL_TEST_MAL_SING_SC1878529_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,adult,testis,male,single_sex,single_sex,,1878529,1878529,B2,PRJEB14695,,ERR667111,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878534_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878534_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,adult,whole_body,male,mixed_sex,mixed_sex,,1878534,1878534,B2,PRJEB14695,,ERR667116,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878535_B2,SM_ADUL_WHOL_FEM_SING_SC1878535_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,adult,whole_body,female,single_sex,single_sex,,1878535,1878535,B2,PRJEB14695,,ERR667117,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878537_B2,SM_ADUL_WHOL_FEM_SING_SC1878537_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,adult,whole_body,female,single_sex,single_sex,,1878537,1878537,B2,PRJEB14695,,ERR667119,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878515_B2,SM_ADUL_OVAR_FEM_SING_SC1878515_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,adult,ovary,female,single_sex,single_sex,,1878515,1878515,B2,PRJEB14695,,ERR667121,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878517_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,adult,ovary,female,mixed_sex,mixed_sex,,1878517,1878517,B2,PRJEB14695,,ERR667123,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878518_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,adult,ovary,female,mixed_sex,mixed_sex,,1878518,1878518,B2,PRJEB14695,,ERR667124,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878520_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878520_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,adult,whole_body,female,mixed_sex,mixed_sex,,1878520,1878520,B2,PRJEB14695,,ERR667126,PRJEB14695
SM_ADUL_TEST_MAL_SING_SC1878522_B2,SM_ADUL_TEST_MAL_SING_SC1878522_B2,Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,adult,testis,male,single_sex,single_sex,,1878522,1878522,B2,PRJEB14695,,ERR667128,PRJEB14695
SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,SM_ADUL_WHOL_MAL_MIXS_SC1878526_B2,Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,adult,whole_body,male,mixed_sex,mixed_sex,,1878526,1878526,B2,PRJEB14695,,ERR667132,PRJEB14695
SM_ADUL_WHOL_MAL_SING_SC1878530_B2,SM_ADUL_WHOL_MAL_SING_SC1878530_B2,Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,adult,whole_body,male,single_sex,single_sex,,1878530,1878530,B2,PRJEB14695,,ERR667136,PRJEB14695
SM_ADUL_WHOL_FEM_SING_SC1878535_B2,SM_ADUL_WHOL_FEM_SING_SC1878535_B2,Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,adult,whole_body,female,single_sex,single_sex,,1878535,1878535,B2,PRJEB14695,,ERR667141,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878515_B2,SM_ADUL_OVAR_FEM_SING_SC1878515_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,adult,ovary,female,single_sex,single_sex,,1878515,1878515,B2,PRJEB14695,,ERR506071,PRJEB14695
SM_ADUL_OVAR_FEM_SING_SC1878516_B2,SM_ADUL_OVAR_FEM_SING_SC1878516_B2,Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,adult,ovary,female,single_sex,single_sex,,1878516,1878516,B2,PRJEB14695,,ERR506072,PRJEB14695
SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,SM_ADUL_OVAR_FEM_MIXS_SC1878519_B2,Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,adult,ovary,female,mixed_sex,mixed_sex,,1878519,1878519,B2,PRJEB14695,,ERR506075,PRJEB14695
SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,SM_ADUL_TEST_MAL_MIXS_SC1878525_B2,Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,adult,testis,male,mixed_sex,mixed_sex,,1878525,1878525,B2,PRJEB14695,,ERR506081,PRJEB14695
SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,SM_ADUL_WHOL_FEM_MIXS_SC1878528_B2,Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,adult,whole_body,female,mixed_sex,mixed_sex,,1878528,1878528,B2,PRJEB14695,,ERR506084,PRJEB14695
