sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667101
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667103
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667110
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667118
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667122
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667129
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667130
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667131
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667135
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667137
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667138
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667139
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667143
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506073
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506076
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR506077
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506082
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR506091
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR506092
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506097
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506105
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR506106
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR506108
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR506111
