sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession
SM_SCHI_MIX_UNKN_R1_B1,schistosomula_2d,mixed,unknown,1,B1,PRJEB32839,,ERR11178395
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_1d,mixed,unknown,3,B1,PRJEB32839,,ERR11178396
SM_SPOR_MAL_UNKN_R4_B1,sporocyst_32d,male,unknown,4,B1,PRJEB32839,,ERR11178400
SM_SCHI_FEM_UNKN_R4_B1,schistosomula_2d,female,unknown,4,B1,PRJEB32839,,ERR11178402
SM_MIRA_MIX_UNKN_R1_B1,miracidium,mixed,unknown,1,B1,PRJEB32839,,ERR11178403
SM_ADUL_MAL_UNKN_R2_B1,adult_26d,male,unknown,2,B1,PRJEB32839,,ERR11178406
SM_SPOR_FEM_UNKN_R2_B1,sporocyst_32d,female,unknown,2,B1,PRJEB32839,,ERR11178407
SM_SPOR_FEM_UNKN_R3_B1,sporocyst_32d,female,unknown,3,B1,PRJEB32839,,ERR11178415
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_32d,mixed,unknown,3,B1,PRJEB32839,,ERR11178431
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_32d,mixed,unknown,4,B1,PRJEB32839,,ERR11178435
SM_CERC_FEM_UNKN_R2_B1,cercariae,female,unknown,2,B1,PRJEB32839,,ERR11178437
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_1d,mixed,unknown,5,B1,PRJEB32839,,ERR11178264
SM_EGGS_MIX_UNKN_R1_B1,eggs,mixed,unknown,1,B1,PRJEB32839,,ERR11178266
SM_SCHI_MAL_UNKN_R2_B1,schistosomula_2d,male,unknown,2,B1,PRJEB32839,,ERR11178267
SM_ADUL_MAL_UNKN_R5_B1,adult_26d,male,unknown,5,B1,PRJEB32839,,ERR11178271
SM_SPOR_FEM_UNKN_R5_B1,sporocyst_32d,female,unknown,5,B1,PRJEB32839,,ERR11178272
SM_MIRA_MIX_UNKN_R5_B1,miracidium,mixed,unknown,5,B1,PRJEB32839,,ERR11178278
SM_ADUL_FEM_UNKN_R3_B1,adult_26d,female,unknown,3,B1,PRJEB32839,,ERR11178279
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_5d,mixed,unknown,3,B1,PRJEB32839,,ERR11178280
SM_SCHI_MIX_UNKN_R4_B1,schistosomula_2d,mixed,unknown,4,B1,PRJEB32839,,ERR11178281
SM_SCHI_FEM_UNKN_R1_B1,schistosomula_2d,female,unknown,1,B1,PRJEB32839,,ERR11178285
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_1d,mixed,unknown,1,B1,PRJEB32839,,ERR11178288
SM_ADUL_FEM_UNKN_R4_B1,adult_26d,female,unknown,4,B1,PRJEB32839,,ERR11178289
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_5d,mixed,unknown,4,B1,PRJEB32839,,ERR11178290
SM_CERC_MAL_UNKN_R3_B1,cercariae,male,unknown,3,B1,PRJEB32839,,ERR11178293
SM_SCHI_FEM_UNKN_R2_B1,schistosomula_2d,female,unknown,2,B1,PRJEB32839,,ERR11178294
SM_SCHI_MAL_UNKN_R5_B1,schistosomula_2d,male,unknown,5,B1,PRJEB32839,,ERR11178296
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_5d,mixed,unknown,5,B1,PRJEB32839,,ERR11178299
SM_SPOR_MAL_UNKN_R3_B1,sporocyst_32d,male,unknown,3,B1,PRJEB32839,,ERR11178301
SM_SCHI_FEM_UNKN_R3_B1,schistosomula_2d,female,unknown,3,B1,PRJEB32839,,ERR11178303
SM_SCHI_MIX_UNKN_R1_B1,schistosomula_2d,mixed,unknown,1,B1,PRJEB32839,,ERR11178305
SM_SPOR_MAL_UNKN_R4_B1,sporocyst_32d,male,unknown,4,B1,PRJEB32839,,ERR11178310
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_1d,mixed,unknown,4,B1,PRJEB32839,,ERR11178315
SM_ADUL_MAL_UNKN_R3_B1,adult_26d,male,unknown,3,B1,PRJEB32839,,ERR11178324
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_5d,mixed,unknown,1,B1,PRJEB32839,,ERR11178332
SM_ADUL_MAL_UNKN_R4_B1,adult_26d,male,unknown,4,B1,PRJEB32839,,ERR11178333
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_32d,mixed,unknown,4,B1,PRJEB32839,,ERR11178345
SM_CERC_FEM_UNKN_R5_B1,cercariae,female,unknown,5,B1,PRJEB32839,,ERR11178353
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_1d,mixed,unknown,5,B1,PRJEB32839,,ERR11178354
SM_CERC_MIX_UNKN_R4_B1,cercariae,mixed,unknown,4,B1,PRJEB32839,,ERR11178355
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_5d,mixed,unknown,2,B1,PRJEB32839,,ERR11178360
SM_ADUL_MAL_UNKN_R5_B1,adult_26d,male,unknown,5,B1,PRJEB32839,,ERR11178361
SM_SPOR_FEM_UNKN_R5_B1,sporocyst_32d,female,unknown,5,B1,PRJEB32839,,ERR11178362
SM_CERC_MIX_UNKN_R5_B1,cercariae,mixed,unknown,5,B1,PRJEB32839,,ERR11178365
SM_EGGS_MIX_UNKN_R2_B1,eggs,mixed,unknown,2,B1,PRJEB32839,,ERR11178366
SM_SCHI_MAL_UNKN_R3_B1,schistosomula_2d,male,unknown,3,B1,PRJEB32839,,ERR11178367
SM_ADUL_FEM_UNKN_R3_B1,adult_26d,female,unknown,3,B1,PRJEB32839,,ERR11178369
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_5d,mixed,unknown,3,B1,PRJEB32839,,ERR11178370
SM_SCHI_MIX_UNKN_R4_B1,schistosomula_2d,mixed,unknown,4,B1,PRJEB32839,,ERR11178371
SM_CERC_MAL_UNKN_R2_B1,cercariae,male,unknown,2,B1,PRJEB32839,,ERR11178374
SM_EGGS_MIX_UNKN_R3_B1,eggs,mixed,unknown,3,B1,PRJEB32839,,ERR11178376
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_1d,mixed,unknown,1,B1,PRJEB32839,,ERR11178378
SM_SPOR_MAL_UNKN_R2_B1,sporocyst_32d,male,unknown,2,B1,PRJEB32839,,ERR11178382
SM_SCHI_FEM_UNKN_R2_B1,schistosomula_2d,female,unknown,2,B1,PRJEB32839,,ERR11178384
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_5d,mixed,unknown,5,B1,PRJEB32839,,ERR11178389
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_1d,mixed,unknown,4,B1,PRJEB32839,,ERR11178405
SM_SPOR_MAL_UNKN_R5_B1,sporocyst_32d,male,unknown,5,B1,PRJEB32839,,ERR11178409
SM_CERC_MIX_UNKN_R1_B1,cercariae,mixed,unknown,1,B1,PRJEB32839,,ERR11178410
SM_SCHI_MIX_UNKN_R3_B1,schistosomula_2d,mixed,unknown,3,B1,PRJEB32839,,ERR11178413
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_32d,mixed,unknown,1,B1,PRJEB32839,,ERR11178417
SM_CERC_MIX_UNKN_R2_B1,cercariae,mixed,unknown,2,B1,PRJEB32839,,ERR11178418
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_5d,mixed,unknown,1,B1,PRJEB32839,,ERR11178422
SM_SPOR_FEM_UNKN_R4_B1,sporocyst_32d,female,unknown,4,B1,PRJEB32839,,ERR11178424
SM_CERC_MIX_UNKN_R3_B1,cercariae,mixed,unknown,3,B1,PRJEB32839,,ERR11178427
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_32d,mixed,unknown,5,B1,PRJEB32839,,ERR11178432
SM_CERC_FEM_UNKN_R1_B1,cercariae,female,unknown,1,B1,PRJEB32839,,ERR11178433
SM_CERC_FEM_UNKN_R3_B1,cercariae,female,unknown,3,B1,PRJEB32839,,ERR11178439
SM_CERC_FEM_UNKN_R4_B1,cercariae,female,unknown,4,B1,PRJEB32839,,ERR11178441
SM_CERC_MIX_UNKN_R4_B1,cercariae,mixed,unknown,4,B1,PRJEB32839,,ERR11178265
SM_MIRA_MIX_UNKN_R4_B1,miracidium,mixed,unknown,4,B1,PRJEB32839,,ERR11178268
SM_ADUL_FEM_UNKN_R2_B1,adult_26d,female,unknown,2,B1,PRJEB32839,,ERR11178269
SM_CERC_MAL_UNKN_R1_B1,cercariae,male,unknown,1,B1,PRJEB32839,,ERR11178274
SM_SCHI_MIX_UNKN_R5_B1,schistosomula_2d,mixed,unknown,5,B1,PRJEB32839,,ERR11178291
SM_SPOR_MAL_UNKN_R2_B1,sporocyst_32d,male,unknown,2,B1,PRJEB32839,,ERR11178292
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_1d,mixed,unknown,2,B1,PRJEB32839,,ERR11178297
SM_ADUL_FEM_UNKN_R5_B1,adult_26d,female,unknown,5,B1,PRJEB32839,,ERR11178298
SM_EGGS_MIX_UNKN_R5_B1,eggs,mixed,unknown,5,B1,PRJEB32839,,ERR11178304
SM_SPOR_FEM_UNKN_R1_B1,sporocyst_32d,female,unknown,1,B1,PRJEB32839,,ERR11178308
SM_CERC_MAL_UNKN_R5_B1,cercariae,male,unknown,5,B1,PRJEB32839,,ERR11178311
SM_SCHI_MIX_UNKN_R2_B1,schistosomula_2d,mixed,unknown,2,B1,PRJEB32839,,ERR11178314
SM_SPOR_MAL_UNKN_R5_B1,sporocyst_32d,male,unknown,5,B1,PRJEB32839,,ERR11178319
SM_SCHI_FEM_UNKN_R5_B1,schistosomula_2d,female,unknown,5,B1,PRJEB32839,,ERR11178321
SM_MIRA_MIX_UNKN_R2_B1,miracidium,mixed,unknown,2,B1,PRJEB32839,,ERR11178322
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_32d,mixed,unknown,1,B1,PRJEB32839,,ERR11178327
SM_SCHI_MAL_UNKN_R1_B1,schistosomula_2d,male,unknown,1,B1,PRJEB32839,,ERR11178329
SM_MIRA_MIX_UNKN_R3_B1,miracidium,mixed,unknown,3,B1,PRJEB32839,,ERR11178330
SM_ADUL_FEM_UNKN_R1_B1,adult_26d,female,unknown,1,B1,PRJEB32839,,ERR11178331
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_32d,mixed,unknown,2,B1,PRJEB32839,,ERR11178336
SM_CERC_MIX_UNKN_R3_B1,cercariae,mixed,unknown,3,B1,PRJEB32839,,ERR11178337
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_32d,mixed,unknown,3,B1,PRJEB32839,,ERR11178341
SM_CERC_FEM_UNKN_R2_B1,cercariae,female,unknown,2,B1,PRJEB32839,,ERR11178347
SM_CERC_FEM_UNKN_R4_B1,cercariae,female,unknown,4,B1,PRJEB32839,,ERR11178351
SM_SCHI_MAL_UNKN_R2_B1,schistosomula_2d,male,unknown,2,B1,PRJEB32839,,ERR11178357
SM_MIRA_MIX_UNKN_R4_B1,miracidium,mixed,unknown,4,B1,PRJEB32839,,ERR11178358
SM_ADUL_FEM_UNKN_R2_B1,adult_26d,female,unknown,2,B1,PRJEB32839,,ERR11178359
SM_CERC_MAL_UNKN_R1_B1,cercariae,male,unknown,1,B1,PRJEB32839,,ERR11178364
SM_SCHI_FEM_UNKN_R1_B1,schistosomula_2d,female,unknown,1,B1,PRJEB32839,,ERR11178375
SM_SCHI_MAL_UNKN_R4_B1,schistosomula_2d,male,unknown,4,B1,PRJEB32839,,ERR11178377
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_5d,mixed,unknown,4,B1,PRJEB32839,,ERR11178380
SM_CERC_MAL_UNKN_R3_B1,cercariae,male,unknown,3,B1,PRJEB32839,,ERR11178383
SM_SPOR_MAL_UNKN_R3_B1,sporocyst_32d,male,unknown,3,B1,PRJEB32839,,ERR11178391
SM_CERC_MAL_UNKN_R4_B1,cercariae,male,unknown,4,B1,PRJEB32839,,ERR11178392
SM_SCHI_FEM_UNKN_R3_B1,schistosomula_2d,female,unknown,3,B1,PRJEB32839,,ERR11178393
SM_ADUL_MAL_UNKN_R1_B1,adult_26d,male,unknown,1,B1,PRJEB32839,,ERR11178397
SM_SPOR_FEM_UNKN_R1_B1,sporocyst_32d,female,unknown,1,B1,PRJEB32839,,ERR11178398
SM_CERC_MAL_UNKN_R5_B1,cercariae,male,unknown,5,B1,PRJEB32839,,ERR11178401
SM_SCHI_MIX_UNKN_R2_B1,schistosomula_2d,mixed,unknown,2,B1,PRJEB32839,,ERR11178404
SM_SCHI_FEM_UNKN_R5_B1,schistosomula_2d,female,unknown,5,B1,PRJEB32839,,ERR11178411
SM_MIRA_MIX_UNKN_R2_B1,miracidium,mixed,unknown,2,B1,PRJEB32839,,ERR11178412
SM_ADUL_MAL_UNKN_R3_B1,adult_26d,male,unknown,3,B1,PRJEB32839,,ERR11178414
SM_SCHI_MAL_UNKN_R1_B1,schistosomula_2d,male,unknown,1,B1,PRJEB32839,,ERR11178419
SM_MIRA_MIX_UNKN_R3_B1,miracidium,mixed,unknown,3,B1,PRJEB32839,,ERR11178420
SM_ADUL_FEM_UNKN_R1_B1,adult_26d,female,unknown,1,B1,PRJEB32839,,ERR11178421
SM_ADUL_MAL_UNKN_R4_B1,adult_26d,male,unknown,4,B1,PRJEB32839,,ERR11178423
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_32d,mixed,unknown,2,B1,PRJEB32839,,ERR11178426
SM_CERC_FEM_UNKN_R5_B1,cercariae,female,unknown,5,B1,PRJEB32839,,ERR11178443
